objectid,Approve,cs_address_one,cs_address_two,cs_borough,cs_cooling_facilities,cs_cooling_facilities_other,cs_heat_vulnerable,cs_heat_vulnerable_other,cs_indoor_site_id,cs_max_seating,cs_name,cs_opening_hours,cs_postcode,cs_toilets_available,cs_wheelchair_access,has_drinking_water,has_seating,indoor_cooling_temp,is_free_of_charge,is_staffed_when_open,org_name,runtime,Tier,x,y
32,Yes,5 Hayling Way,,Barnet,"Stand up fans,Natural cooling/ventilation",," young children, older people, pregnant women ",,56,35,OneStonegrove,9am-7pm Mon-Fri. 10am-5pm Public Holidays. Closed on weekend.,,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,Stonegrove Community Trust,20250527,Tier 1,518650.11,192803.759
57,Yes,71 East Barnet Road,,Barnet,"Stand up fans,Ceiling fans",," young children, older people, pregnant women ",,89,200,Jim's Community Cafe,Monday: 9:30 - 1pm Tuesday: 9:30 - 1pm Wednesday: 9am - 7pm Thursday: 9am - 1pm (From September/October) Friday: Closed Saturday: 9am - 12noon Sunday: 9:30 - 1pm,,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,St James Church ,20250527,Tier 2,526710.337,196078.876
63,Yes,185 Mays Lane,,Barnet,Stand up fans,," young children, older people, pregnant women ",,99,75,Hope Corner Community Centre,9.30am - 2.00pm weekdays,,Available on site,Yes,Yes,Yes,"Cannot guarantee 26C, but the space is always cooler than the outside temperature",Yes,Yes,Barnet Churches Action,20250527,Tier 1,524471.378,195655.252
94,Yes,Victoria Recreation Ground,1 Lawton Road,Barnet,Air conditioning,,"Young children,Older people,Pregnant women",,572,20,New Barnet Library,Tuesday from 10am to 2pm Thursday from 4pm to 7pm Friday from 10am to 5pm Saturday from 9am to 12 noon,EN4 9BS,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,New Barnet Library,20250527,Tier 2,526752.16,196493.06
62,Yes,7-9 Blackfen Road,,Bexley,Air conditioning,," young children, older people, pregnant women ",,96,100,Blackfen Community Library,Tue-Fri 930am-5pm Sat 930am-3pm,,Available on site,Yes,Yes,Yes,Indoor temperature of 26C or less,Yes,Yes,Blackfen Community Library,20250527,Tier 1,546305.671,174481.175
293,Yes,95 High Road,Willesden,Brent,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,710,300,Library at Willesden Green,Monday - Friday 10:30am -8pm  Saturday - 10:30am -5pm Sunday - 12pm -5pm Closed on  Bank Holidays,NW10 2SF,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Brent Libraries,20250805,Tier 1,522894,184598
294,Yes,"Brent Civic Centre, Engineers Way,",Wembley,Brent,Natural cooling/ventilation,,"Young children,Older people,Pregnant women",,711,200,Wembley Library,Monday to Friday: 10:30am to 8pm Saturday: 10:30am to 5pm Sunday: 12pm to 5pm Closed on Bank Holidays,HA9 0FJ,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,Brent Libraries,20250805,Tier 1,519215,185861
306,Yes,Donnington Rd,Willesden,Brent,Natural cooling/ventilation,,"Young children,Older people",,723,50,Willesden Sports Centre,Mon to Fri 6:30 - 22:30 Sat & Sun 8:00 - 18:00 Bank holiday 10:00 - 19:00,NW10 3QX,available on site,yes,yes,yes,cannot_guarantee_26c,yes,yes,1Life Willesden Sports Centre,20250919,Tier 1,522786,183843
230,Yes,"25 Chamberlayne Rd, NW10 3NB",,Brent,"Air conditioning,Natural cooling/ventilation",,"Young children,Older people,Pregnant women",,306,10,Moberly Sports Centre,Mon-Fri - 6.30am - 10pm\nWeekends - 8am-8pm,NW10 3NB,available on site,yes,yes,yes,26c_or_less,yes,yes,Westminster City Council,20250610,Tier 1,523838.016,182823.684
87,Yes,20 Widmore Road,Bromley,Bromley,Natural cooling/ventilation,,"Older people,Other",,139,25,Bromley United Reformed Church,Mon - Fri 09.00 - 16.30 Saturday depends on room bookings - potentially 09.00 - 16.30 also Sunday - during/alongside worship service 09.30 - 12.30,BR1 1RY,available on site,yes,Yes,Yes,cannot_guarantee_26c,Yes,Yes,Bromley United Reformed Church,20250527,Tier 2,540308,169358
