"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2012/13","5.8371","5.8302","5.844","5.8262","5.848","2582233","44238482.53","There is a data quality issue with this value","","","","20120000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2013/14","6.5206","6.5134","6.5279","6.5092","6.532","2912592","44667477.82","","","","","20130000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2014/15","7.3316","7.324","7.3392","7.3196","7.3436","3305363","45083979.54","","","","","20140000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2015/16","8.2641","8.2562","8.2721","8.2516","8.2767","3775531","45685713","","","","","20150000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2016/17","9.0851","9.0769","9.0934","9.0721","9.0982","4187797","46094999","","","","","20160000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2017/18","9.8823","9.8737","9.8908","9.8687","9.8958","4589213","46438886","","","","","20170000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2018/19","10.7419","10.733","10.7507","10.7279","10.7558","5077090","47264560","","","","","20180000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2019/20","11.5593","11.5503","11.5684","11.5451","11.5736","5565443","48146685","","","","","20190000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2020/21","12.2905","12.2813","12.2997","12.2759","12.3051","5955865","48459095","","","","","20200000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2021/22","12.6537","12.6445","12.663","12.6391","12.6684","6235456","49277553","","","","","20210000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2022/23","13.2498","13.2404","13.2592","13.235","13.2646","6618681","49953136","","","","","20220000","","","1y"
"848","Depression: QOF prevalence","","","E92000001","England","England","Persons","18+ yrs","","","2024/25","14.2658","14.2562","14.2753","14.2507","14.2809","7317368","51293187","","","","","20240000","","","1y"
