Count of PPA,Borough,Gender,Age Group,Self Classified Ethnicity,Offence Type,Charged/Summonsed,Proceedings Date
1,Westminster,Male,40 to 44,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Haringey,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Haringey,Male,20 to 24,Black ,Murder,Charge or Summons,Apr-03
1,Westminster,Female,45 to 49,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Westminster,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Camden,Male,50 to 54,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Camden,Male,50 to 54,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Camden,Male,50 to 54,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Richmond Upon Thames,Female,30 to 34,White,Murder,Charge or Summons,May-03
1,Waltham Forest,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Waltham Forest,Male,15 to 19,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Tower Hamlets,Male,40 to 44,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Tower Hamlets,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Hillingdon,Male,15 to 19,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Hammersmith & Fulham,Male,35 to 39,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Lambeth,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Feb-03
1,Ealing,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Feb-03
1,Ealing,Female,20 to 24,White,Murder,Charge or Summons,Feb-03
1,Ealing,Male,20 to 24,White,Murder,Charge or Summons,Dec-03
1,Wandsworth,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Jan-03
1,Ealing,Male,30 to 34,Mixed,Murder,Charge or Summons,Mar-03
1,Westminster,Male,25 to 29,SCE Not Recorded,Murder,Charge or Summons,Feb-03
1,Ealing,Male,20 to 24,SCE Not Recorded,Murder,Charge or Summons,Feb-03
1,Ealing,Male,30 to 34,SCE Not Recorded,Murder,Charge or Summons,Feb-03
1,Haringey,Male,25 to 29,SCE Not Recorded,Murder,Charge or Summons,Feb-03
1,Merton,Male,30 to 34,White,Murder,Charge or Summons,Mar-03
1,Richmond Upon Thames,Male,30 to 34,Person declines to define ethnicity,Murder,Charge or Summons,May-06
1,Camden,Male,35 to 39,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Camden,Male,30 to 34,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Haringey,Male,25 to 29,Black ,Murder,Charge or Summons,Mar-03
1,Haringey,Male,15 to 19,SCE Not Recorded,Murder,Charge or Summons,Feb-03
1,Newham,Male,60 to 64,Asian ,Murder,Charge or Summons,Aug-03
1,Westminster,Female,20 to 24,Mixed,Manslaughter,Charge or Summons,Sep-03
1,Westminster,Female,20 to 24,Mixed,Manslaughter,Charge or Summons,Sep-03
1,Barking & Dagenham,Male,35 to 39,White,Murder,Charge or Summons,Mar-03
1,Barking & Dagenham,Female,60 to 64,Person declines to define ethnicity,Murder,Charge or Summons,Apr-03
1,Haringey,Male,35 to 39,SCE Not Recorded,Murder,Charge or Summons,Jan-04
1,Haringey,Male,30 to 34,Black ,Murder,Charge or Summons,Jun-03
1,Haringey,Male,40 to 44,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Brent,Male,35 to 39,White,Murder,Charge or Summons,Jun-03
1,Greenwich,Male,25 to 29,Other ,Murder,Charge or Summons,Mar-03
1,Tower Hamlets,Male,20 to 24,Person declines to define ethnicity,Murder,Charge or Summons,Apr-03
1,Greenwich,Male,40 to 44,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Redbridge,Male,40 to 44,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Westminster,Male,20 to 24,White,Murder,Charge or Summons,Apr-03
1,Westminster,Male,15 to 19,White,Murder,Recording Error,Dec-03
1,Haringey,Male,15 to 19,Black ,Murder,Charge or Summons,Jul-03
1,Haringey,Male,20 to 24,Black ,Murder,Charge or Summons,Jul-03
1,Haringey,Male,25 to 29,Black ,Murder,Charge or Summons,Jul-03
1,Southwark,Male,25 to 29,Black ,Murder,Charge or Summons,Oct-03
1,Barnet,Male,25 to 29,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Southwark,Male,35 to 39,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Redbridge,Male,30 to 34,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Bexley,Male,20 to 24,White,Murder,Charge or Summons,May-03
1,Southwark,Male,35 to 39,SCE Not Recorded,Murder,Charge or Summons,Mar-03
1,Brent,Male,25 to 29,Black ,Murder,Charge or Summons,Jun-03
1,Waltham Forest,Male,30 to 34,Person declines to define ethnicity,Murder,Charge or Summons,Apr-03
1,Waltham Forest,Male,20 to 24,Black ,Murder,Charge or Summons,Mar-06
1,Tower Hamlets,Male,20 to 24,White,Murder,Charge or Summons,Apr-03
1,Tower Hamlets,Male,25 to 29,White,Murder,Charge or Summons,Apr-03
1,Harrow,Male,20 to 24,Black ,Murder,Charge or Summons,Apr-03
1,Southwark,Male,40 to 44,White,Murder,Charge or Summons,May-03
1,Barking & Dagenham,Male,35 to 39,White,Murder,Charge or Summons,Apr-03
1,Lambeth,Male,15 to 19,Black ,Murder,Charge or Summons,Apr-03
1,Bromley,Male,40 to 44,White,Murder,Charge or Summons,Apr-03
1,Croydon,Male,30 to 34,Person declines to define ethnicity,Murder,Charge or Summons,May-03
1,Croydon,Male,35 to 39,White,Murder,Charge or Summons,Mar-04
1,Newham,Male,25 to 29,Asian ,Murder,Charge or Summons,Aug-03
1,Brent,Male,20 to 24,Black ,Murder,Charge or Summons,Jul-03
1,Haringey,Male,25 to 29,White,Murder,Charge or Summons,Apr-03
1,Westminster,Female,30 to 34,White,Murder,Charge or Summons,May-03
1,Hackney,Male,35 to 39,Black ,Murder,Charge or Summons,Jul-03
1,Hackney,Female,30 to 34,Black ,Murder,Charge or Summons,Jul-03
1,Hillingdon,Male,30 to 34,White,Murder,Charge or Summons,May-03
1,Haringey,Male,15 to 19,Black ,Manslaughter,Charge or Summons,Jun-03
1,Tower Hamlets,Female,40 to 44,Person declines to define ethnicity,Murder,Charge or Summons,May-03
1,Tower Hamlets,Male,20 to 24,Asian ,Murder,Charge or Summons,May-03
1,Hounslow,Male,35 to 39,White,Murder,Charge or Summons,May-03
1,Hounslow,Male,50 to 54,White,Murder,Charge or Summons,Jan-04
1,Hounslow,Male,50 to 54,White,Murder,Charge or Summons,Apr-04
1,Greenwich,Female,15 to 19,White,Murder,Charge or Summons,May-03
1,Southwark,Male,45 to 49,White,Murder,Charge or Summons,Jan-06
1,Southwark,Male,50 to 54,White,Murder,Charge or Summons,Mar-06
1,Southwark,Male,55 to 59,White,Murder,Charge or Summons,May-06
1,Croydon,Male,25 to 29,Black ,Murder,Charge or Summons,May-03
1,Brent,Male,40 to 44,Black ,Murder,Charge or Summons,May-03
1,Tower Hamlets,Male,30 to 34,White,Murder,Charge or Summons,Jun-03
1,Lewisham,Male,25 to 29,White,Murder,Charge or Summons,Jan-05
1,Greenwich,Female,25 to 29,White,Murder,Charge or Summons,Jun-03
1,Greenwich,Male,30 to 34,White,Murder,Charge or Summons,Jun-03
1,Havering,Male,35 to 39,White,Murder,Charge or Summons,Jun-03
1,Havering,Male,20 to 24,White,Murder,Charge or Summons,Jun-03
1,Havering,Male,30 to 34,White,Murder,Charge or Summons,Jun-03
1,Waltham Forest,Male,25 to 29,Mixed,Murder,Charge or Summons,Jun-03
1,Hackney,Male,30 to 34,Black ,Murder,Charge or Summons,Aug-03
1,Hackney,Male,30 to 34,Black ,Murder,Charge or Summons,Dec-03
1,Hackney,Male,30 to 34,Black ,Murder,Charge or Summons,Dec-03
1,Brent,Male,25 to 29,Asian ,Murder,Charge or Summons,Mar-04
1,Brent,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Brent,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Brent,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Brent,Male,15 to 19,Asian ,Murder,Charge or Summons,Sep-04
1,Redbridge,Male,20 to 24,Asian ,Murder,Charge or Summons,Jul-03
1,Redbridge,Male,20 to 24,Asian ,Murder,Charge or Summons,Aug-03
1,Redbridge,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Redbridge,Male,25 to 29,Asian ,Murder,Charge or Summons,Mar-04
1,Redbridge,Male,20 to 24,Asian ,Murder,Charge or Summons,Mar-04
1,Redbridge,Male,30 to 34,Asian ,Murder,Charge or Summons,Mar-04
1,Redbridge,Male,25 to 29,Asian ,Murder,Charge or Summons,May-04
1,Redbridge,Male,15 to 19,Asian ,Murder,Charge or Summons,Sep-04
1,Ealing,Male,25 to 29,Asian ,Murder,Charge or Summons,Jul-03
1,Ealing,Male,30 to 34,Asian ,Murder,Charge or Summons,Sep-03
1,Hackney,Male,20 to 24,Black ,Murder,Charge or Summons,Jul-03
1,Hackney,Male,20 to 24,Black ,Murder,Charge or Summons,Aug-03
1,Hackney,Male,20 to 24,Black ,Murder,Charge or Summons,Aug-03
1,Hackney,Male,15 to 19,Black ,Murder,Charge or Summons,Aug-03
1,Hackney,Male,15 to 19,Black ,Murder,Charge or Summons,Nov-03
1,Hackney,Male,15 to 19,Black ,Murder,Charge or Summons,Mar-04
1,Hounslow,Male,15 to 19,White,Murder,Charge or Summons,Oct-03
1,Barnet,Male,35 to 39,Person declines to define ethnicity,Murder,Charge or Summons,Jun-03
1,Enfield,Male,30 to 34,Black ,Murder,Charge or Summons,Jun-03
1,Enfield,Male,20 to 24,Black ,Murder,Charge or Summons,Jul-03
1,Newham,Male,30 to 34,Person declines to define ethnicity,Murder,Charge or Summons,Jun-03
1,Newham,Male,25 to 29,Person declines to define ethnicity,Murder,Charge or Summons,Jun-03
1,Wandsworth,Male,20 to 24,White,Murder,Charge or Summons,Jun-03
1,Lambeth,Male,55 to 59,Person declines to define ethnicity,Murder,Charge or Summons,Jun-03
1,Redbridge,Male,30 to 34,White,Murder,Charge or Summons,Nov-03
1,Greenwich,Male,15 to 19,White,Murder,Charge or Summons,Jul-03
1,Greenwich,Male,20 to 24,Other ,Murder,Charge or Summons,Aug-03
1,Lewisham,Male,25 to 29,Black ,Murder,Charge or Summons,Jul-03
1,Lewisham,Male,25 to 29,Black ,Murder,Charge or Summons,Aug-03
1,Lewisham,Male,35 to 39,Asian ,Murder,Charge or Summons,Aug-03
1,Lewisham,Male,30 to 34,Black ,Murder,Charge or Summons,Jul-06
1,Croydon,Male,50 to 54,Asian ,Murder,Charge or Summons,Jun-03
1,Waltham Forest,Male,40 to 44,White,Murder,Charge or Summons,Apr-04
1,Waltham Forest,Male,30 to 34,White,Murder,Charge or Summons,Apr-04
1,Haringey,Male,20 to 24,Black ,Murder,Charge or Summons,Aug-03
1,Haringey,Male,15 to 19,Black ,Murder,Charge or Summons,Aug-03
1,Haringey,Male,20 to 24,Black ,Murder,Charge or Summons,Aug-03
1,Haringey,Female,15 to 19,Black ,Murder,Charge or Summons,Aug-03
1,Waltham Forest,Male,15 to 19,Black ,Murder,Charge or Summons,Jul-03
